date,site,who,transect,segment,round,vial_number,specimen_number,gross_ID,plant,insect_order,insect_family,insect_subfamily,insect_genus,insect_species,fine_ID,pollen,notes,year
6/9/21,Kebler Pass,AS,T3,5,2,AS2,70104,Other fly,Mertensia fusiformis,Diptera,Tephritidae,,,,Tephritidae,,,2021
6/9/21,Kebler Pass,AS,T1,2,3,AS3,70105,Small black solitary bee,Hydrophyllum capitatum,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,2021
6/9/21,Kebler Pass,AS,T1,3,3,,NA,Other fly,Hydrophyllum capitatum,Diptera,,,,,,,,2021
6/9/21,Kebler Pass,KA,T3,5,3,,NA,Small metallic solitary bee,Viola praemorsa,Hymenoptera,Megachilidae,Megachilinae,Osmia,,Osmia,,Osmia - caught and released,2021
6/10/21,Brush Creek Hill,AS,T1,3,1,,NA,Other fly,Ligusticum porteri,Diptera,,,,,,,,2021
6/10/21,Brush Creek Hill,MC,T1,3,2,MC1,70112,Small black solitary bee,Ligusticum porteri,Hymenoptera,Andrenidae,Andreninae,Andrena,,Andrena,,,2021
6/10/21,Brush Creek Hill,AS,T1,1,3,,NA,Big solitary bee (non-megachile),Lupinus sp.,Hymenoptera,,,,,,,Andrena?,2021
6/10/21,Brush Creek Hill,MC,T3,5,3,,NA,Big solitary bee (non-megachile),Lupinus sp.,Hymenoptera,,,,,,,Andrena?,2021
6/10/21,Brush Creek Hill,MC,T1,3,3,MC2,70113,Small black solitary bee,Ligusticum porteri,Hymenoptera,Andrenidae,Andreninae,Andrena,,Andrena,,,2021
6/14/21,Rustlers Gulch,MDS,T2,4,1,MDS1,70127,Small black solitary bee,Pseudocymopterus montanus,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,2021
6/14/21,Rustlers Gulch,MDS,T1,1,1,MDS2,70128,Small black solitary bee,Fragaria virginiana,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,2021
6/14/21,Rustlers Gulch,MDS,T2,2,1,MDS3,70129,Small black solitary bee,Boechera stricta,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,2021
6/14/21,Rustlers Gulch,MDS,T1,1,1,MDS4,70130,Small black solitary bee,Fragaria virginiana,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,2021
6/14/21,Rustlers Gulch,MDS,T2,1,1,,NA,Small black solitary bee,Fragaria virginiana,Hymenoptera,,,,,,,,2021
6/14/21,Rustlers Gulch,AS,T3,3,1,AS1,70131,Hemipteran,Pseudocymopterus montanus,Hemiptera,Thyreocoridae,,Corimelaena,,Corimelaena,,,2021
6/14/21,Rustlers Gulch,AS,T3,3,1,AS2,70132,Small black solitary bee,Pseudocymopterus montanus,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,2021
6/14/21,Rustlers Gulch,AS,T1,2,1,AS3,70133,Small black solitary bee,Fragaria virginiana,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,2021
6/14/21,Rustlers Gulch,AS,T3,3,1,,NA,Small black solitary bee,Pseudocymopterus montanus,Hymenoptera,,,,,,,,2021
6/14/21,Rustlers Gulch,AS,T1,2,1,,NA,Small black solitary bee,Fragaria virginiana,Hymenoptera,,,,,,,,2021
6/14/21,Rustlers Gulch,AS,T1,2,1,,NA,Small black solitary bee,Fragaria virginiana,Hymenoptera,,,,,,,,2021
6/14/21,Rustlers Gulch,MC,T2,3,1,MC1,70134,Small black solitary bee,Fragaria virginiana,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,2021
6/14/21,Rustlers Gulch,MC,T3,5,1,MC2,70135,Small black solitary bee,Pseudocymopterus montanus,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,2021
6/14/21,Rustlers Gulch,MC,T3,5,1,MC3,70136,Small black solitary bee,Pseudocymopterus montanus,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,2021
6/14/21,Rustlers Gulch,MC,T3,5,1,MC4,70137,Other fly,Pseudocymopterus montanus,Diptera,Bombyliidae,Ecliminae,Lepidophora,,Lepidophora,,,2021
6/14/21,Rustlers Gulch,MC,T3,5,1,,NA,Small black solitary bee,Pseudocymopterus montanus,Hymenoptera,,,,,,,,2021
6/14/21,Rustlers Gulch,MC,T3,4,1,,NA,Small black solitary bee,Pseudocymopterus montanus,Hymenoptera,,,,,,,,2021
6/14/21,Rustlers Gulch,MC,T3,4,1,,NA,Small black solitary bee,Pseudocymopterus montanus,Hymenoptera,,,,,,,,2021
6/14/21,Rustlers Gulch,MDS,T2,1,2,MDS5,70138,Small black solitary bee,Fragaria virginiana,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,2021
6/14/21,Rustlers Gulch,MDS,T3,1,2,MDS6,70139,Hemipteran,Pseudocymopterus montanus,Hemiptera,Thyreocoridae,,Corimelaena,,Corimelaena,,,2021
6/14/21,Rustlers Gulch,MDS,T3,1,2,MDS7,70140,Small black solitary bee,Fragaria virginiana,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,2021
6/14/21,Rustlers Gulch,MDS,T1,2,2,MDS8,70141,Small black solitary bee,Fragaria virginiana,Hymenoptera,Halictidae,Halictinae,Halictus,,Halictus,,,2021
6/14/21,Rustlers Gulch,MDS,T1,2,2,MDS9,70142,Small black solitary bee,Fragaria virginiana,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,2021
6/14/21,Rustlers Gulch,MDS,T1,3,2,MDS10,70143,Small black solitary bee,Fragaria virginiana,Hymenoptera,Halictidae,Halictinae,Halictus,,Halictus,,,2021
6/14/21,Rustlers Gulch,MDS,T1,2,2,,NA,Small black solitary bee,Fragaria virginiana,Hymenoptera,,,,,,,,2021
6/14/21,Rustlers Gulch,MC,T2,2,2,MC5,70144,Small black solitary bee,Fragaria virginiana,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,2021
6/14/21,Rustlers Gulch,MC,T3,4,2,MC6,70145,Small black solitary bee,Fragaria virginiana,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,larger bee in vial,2021
6/14/21,Rustlers Gulch,MC,T3,3,2,MC7,70146,Small black solitary bee,Pseudocymopterus montanus,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,2021
6/14/21,Rustlers Gulch,MC,T2,2,2,,NA,Small black solitary bee,Fragaria virginiana,Hymenoptera,,,,,,,,2021
6/14/21,Rustlers Gulch,MC,T2,2,2,,NA,Small black solitary bee,Pseudocymopterus montanus,Hymenoptera,,,,,,,,2021
6/14/21,Rustlers Gulch,AS,T3,5,2,AS4,70147,Syrphidae,Pseudocymopterus montanus,Diptera,Syrphidae,Eristalinae,Cheilosia,,Cheilosia,,,2021
6/14/21,Rustlers Gulch,AS,T3,5,2,AS5,70148,Small black solitary bee,Taraxacum officinale,Hymenoptera,Halictidae,Halictinae,Halictus,,Halictus,,,2021
6/14/21,Rustlers Gulch,AS,T2,4,2,AS6,70149,Syrphidae,Pseudocymopterus montanus,Diptera,Syrphidae,Eristalinae,Cheilosia,,Cheilosia,,,2021
